brand,make,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive,age,country
VW,Passat,12690,174444,M,4/5,1,110,1968.0,diesel,0,BL,0,0,SW,4,F,4,German
Peugeot,308,7990,144000,M,4/5,1,87,1560.0,diesel,0,WH,0,0,SW,4,F,5,French
Ford,Focus,1350,247000,M,4/5,0,66,1800.0,diesel,0,GR,2,0,SW,3,F,19,USA
VW,Touran,6800,196000,M,4/5,0,125,1968.0,diesel,0,VAR,4,0,VAN,4,F,12,German
Volvo,XC 60,10999,182700,M,4/5,1,129,2400.0,diesel,1,GR,3,0,SW,6,F,10,Other
Audi,A4,15990,182000,A,4/5,1,110,1968.0,diesel,0,VAR,3,0,SW,4,F,4,German
Seat,Altea XL,4990,263914,A,4/5,1,76,1598.0,diesel,0,BL,0,0,VAN,5,F,9,EU
Ford,Focus C_Max,11599,169282,A,4/5,1,110,1997.0,diesel,0,BL,3,0,SW,4,F,4,USA
Škoda,Fabia,4499,178550,M,4/5,1,65,1598.0,diesel,1,WH,3,0,SW,4,F,8,EU
Ford,Fusion,3650,122781,M,4/5,1,49,1399.0,diesel,0,GR,3,0,HB,4,F,12,USA
Volvo,S60,14950,129287,A,4/5,0,100,1984.0,diesel,0,BL,4,0,SDN,5,F,5,Other
Saab,9_3,3400,171000,M,4/5,0,110,1910.0,diesel,0,GR,4,0,SDN,4,F,16,EU
Mazda,3,9990,133791,M,4/5,0,74,1496.0,petrol,1,VAR,4,0,HB,6,F,6,Asian
Rover,200,969,168000,M,2/3,0,77,1998.0,diesel,0,VAR,2,0,HB,2,F,21,EU
Kia,Sportage,16490,52215,M,4/5,0,97,1598.0,petrol,1,VAR,4,0,SUV,6,F,4,Asian
Peugeot,308,8790,185168,M,4/5,0,110,1997.0,diesel,0,WH,4,0,SW,6,F,4,French
VW,Golf 5,3650,234000,M,4/5,0,77,1896.0,diesel,0,GR,2,0,SW,4,F,12,German
Škoda,Yeti,6500,215390,M,4/5,1,81,1968.0,diesel,0,VAR,3,0,SW,5,F,11,EU
VW,Polo,3600,101486,M,4/5,0,51,1200.0,petrol,1,BL,2,0,HB,4,F,12,German
VW,Passat,2999,208000,M,4/5,0,96,1900.0,diesel,0,GR,4,0,SDN,3,4x4,16,German
Rover,200,1269,197000,M,4/5,0,80,1580.0,LPG,1,VAR,2,0,HB,2,F,21,EU
Volvo,V40,1499,255000,M,4/5,0,76,1900.0,diesel,0,VAR,2,0,SW,3,F,19,Other
VW,Golf 5,3300,199650,M,4/5,0,77,1895.0,diesel,1,VAR,4,0,HB,3,F,15,German
VW,Passat,12990,177900,M,4/5,1,110,1968.0,diesel,0,GR,3,0,SW,4,F,5,German
Honda,Jazz,2990,144229,M,4/5,1,60,1339.0,petrol,1,VAR,3,0,HB,4,F,16,Asian
Renault,Scenic,1400,180000,M,4/5,0,70,1390.0,petrol,0,VAR,2,0,SW,3,F,18,French
Peugeot,308,8490,89000,M,4/5,1,87,1560.0,diesel,0,VAR,0,0,SW,4,F,5,French
VW,Passat,13990,144121,A,4/5,1,110,1968.0,diesel,1,BL,3,0,SW,4,F,4,German
BMW,Serija 5,13990,185000,M,4/5,1,135,1995.0,diesel,1,VAR,0,0,SW,5,F,5,German
Audi,A4,7199,219946,M,4/5,1,118,1798.0,petrol,1,BL,3,0,SW,4,F,12,German
